+------+-------------+----------+
| id   | exercise_id | phase_id |
| 2199 |         299 |        5 |
| 1792 |         299 |        3 |
| 2198 |         300 |        5 |
| 1795 |         300 |        3 |
| 2197 |         301 |        5 |
| 1798 |         301 |        3 |
| 2201 |         298 |        5 |
| 2193 |         302 |        5 |
| 1801 |         302 |        3 |
| 2196 |         303 |        5 |
| 1804 |         303 |        3 |
| 2195 |         304 |        5 |
| 1807 |         304 |        3 |
| 2249 |         308 |        3 |
| 1820 |         309 |        1 |
| 1821 |         309 |        2 |
| 1826 |         310 |        5 |
| 2257 |         249 |        3 |
| 1833 |          13 |        4 |
| 1834 |          13 |        5 |
| 2229 |          12 |        4 |
| 1836 |          19 |        4 |
| 1837 |          19 |        5 |
| 1839 |         311 |        1 |
| 1840 |         311 |        2 |
| 1841 |         311 |        3 |
| 1842 |         311 |        4 |
| 1843 |         311 |        5 |
| 1844 |         312 |        1 |
| 1845 |         312 |        2 |
| 1846 |         312 |        3 |
| 1847 |         312 |        4 |
| 1848 |         312 |        5 |
| 1854 |         314 |        1 |
| 1855 |         314 |        2 |
| 1856 |         314 |        3 |
| 1857 |         314 |        4 |
| 1858 |         314 |        5 |
| 1859 |         315 |        1 |
| 1860 |         315 |        2 |
| 1861 |         315 |        3 |
| 1862 |         315 |        4 |
| 1863 |         315 |        5 |
| 1864 |         316 |        1 |
| 1865 |         316 |        2 |
| 1866 |         316 |        3 |
| 1867 |         316 |        4 |
| 1868 |         316 |        5 |
| 1869 |         317 |        1 |
| 1870 |         317 |        2 |
| 1871 |         317 |        3 |
| 1872 |         317 |        4 |
| 1873 |         317 |        5 |
| 1874 |         318 |        1 |
| 1875 |         318 |        2 |
| 1876 |         318 |        3 |
| 1877 |         318 |        4 |
| 1878 |         318 |        5 |
| 1879 |         319 |        1 |
| 1880 |         319 |        2 |
| 1881 |         319 |        3 |
| 1882 |         319 |        4 |
| 1883 |         319 |        5 |
| 1884 |         320 |        1 |
| 1885 |         320 |        2 |
| 1886 |         320 |        3 |
| 1887 |         320 |        4 |
| 1888 |         320 |        5 |
| 1889 |         321 |        1 |
| 1890 |         321 |        2 |
| 1891 |         321 |        3 |
| 1892 |         321 |        4 |
| 1893 |         321 |        5 |
