+-----+-------------+----------------+
| id  | exercise_id | musclegroup_id |
| 643 |         624 |             18 |
| 644 |         625 |             11 |
| 645 |         625 |             21 |
| 646 |         625 |             17 |
| 647 |         625 |              3 |
| 648 |         625 |             18 |
| 649 |         626 |             21 |
| 650 |         626 |             17 |
| 651 |         626 |             18 |
| 652 |         627 |             21 |
| 653 |         627 |             17 |
| 654 |         627 |             18 |
| 655 |         628 |             21 |
| 656 |         628 |             17 |
| 657 |         628 |             18 |
| 661 |         653 |             12 |
| 662 |         701 |             11 |
| 663 |         701 |             26 |
| 664 |         702 |             11 |
| 665 |         702 |             26 |
| 667 |         709 |             25 |
| 669 |         720 |             12 |
| 670 |         720 |             13 |
| 671 |         720 |             25 |
+-----+-------------+----------------+
